Date,Forecast
2021-05-02,1.2639573237647947
2021-05-03,1.251433624267264
2021-05-04,1.2401125735699767
2021-05-05,1.229878681506708
2021-05-06,1.2206275484128748
2021-05-07,1.212264800106491
2021-05-08,1.2047051251427243
2021-05-09,1.1978714045207397
2021-05-10,1.1916939249646519
2021-05-11,1.1861096677529779
2021-05-12,1.1810616658416804
2021-05-13,1.176498422722579
2021-05-14,1.1723733870886932
2021-05-15,1.1686444779473852
2021-05-16,1.1652736553368102
2021-05-17,1.1622265322663943
2021-05-18,1.1594720239226055
2021-05-19,1.1569820305614362
2021-05-20,1.1547311508526676
2021-05-21,1.1526964227516392
2021-05-22,1.150857089255057
2021-05-23,1.149194386651235
2021-05-24,1.147691353104631
2021-05-25,1.1463326556219757
2021-05-26,1.1451044336348184
2021-05-27,1.1439941576028143
2021-05-28,1.1429905011953143
2021-05-29,1.1420832257473363
2021-05-30,1.1412630758112103
2021-05-31,1.1405216847383814
2021-06-01,1.1398514893281781
2021-06-02,1.1392456526728434
2021-06-03,1.1386979944117464
2021-06-04,1.1382029276832697
2021-06-05,1.137755402131197
2021-06-06,1.1373508523841878
2021-06-07,1.1369851514827594
2021-06-08,1.1366545687786684
2021-06-09,1.1363557318772084
2021-06-10,1.1360855922341806
2021-06-11,1.1358413940565841
2021-06-12,1.1356206461897655
2021-06-13,1.135421096704243
2021-06-14,1.135240709922952
2021-06-15,1.1350776456545606
2021-06-16,1.1349302404210082
2021-06-17,1.134796990487758
2021-06-18,1.134676536523653
2021-06-19,1.134567649733884
2021-06-20,1.1344692193246038
2021-06-21,1.1343802411713164
2021-06-22,1.1342998075754358
2021-06-23,1.134227098004521
2021-06-24,1.1341613707217268
2021-06-25,1.134101955219075
2021-06-26,1.1340482453773577
2021-06-27,1.133999693282895
2021-06-28,1.1339558036380677
2021-06-29,1.133916128708605
2021-06-30,1.1338802637560847
2021-07-01,1.1338478429090484
2021-07-02,1.1338185354306136
2021-07-03,1.1337920423445065
2021-07-04,1.133768093385095
2021-07-05,1.1337464442403118
2021-07-06,1.1337268740593367
2021-07-07,1.1337091831996176
2021-07-08,1.133693191190244
2021-07-09,1.1336787348908968
2021-07-10,1.133665666827595
2021-07-11,1.13365385368826
2021-07-12,1.13364317496275
2021-07-13,1.1336335217134919
2021-07-14,1.1336247954641703
2021-07-15,1.1336169071951339
2021-07-16,1.133609776435274
2021-07-17,1.133603330441109
2021-07-18,1.1335975034547023
2021-07-19,1.1335922360328405
2021-07-20,1.1335874744406327
2021-07-21,1.1335831701033403
2021-07-22,1.1335792791108492
2021-07-23,1.1335757617697262
2021-07-24,1.133572582198292
2021-07-25,1.133569707960579
2021-07-26,1.1335671097354403
2021-07-27,1.1335647610174338
2021-07-28,1.1335626378464305
2021-07-29,1.133560718563189
2021-07-30,1.1335589835884012
2021-07-31,1.1335574152229566
2021-08-01,1.1335559974673872
2021-08-02,1.1335547158586516
2021-08-03,1.1335535573225919
2021-08-04,1.1335525100405592
2021-08-05,1.1335515633288478
2021-08-06,1.133550707529706
2021-08-07,1.1335499339128148
2021-08-08,1.1335492345862264
2021-08-09,1.133548602415855
2021-08-10,1.1335480309527002
2021-08-11,1.1335475143670581
2021-08-12,1.13354704738905
2021-08-13,1.1335466252548634
2021-08-14,1.1335462436581532
2021-08-15,1.133545898706112
2021-08-16,1.1335455868797586
2021-08-17,1.1335453049980386
2021-08-18,1.1335450501853737
2021-08-19,1.133544819842327
2021-08-20,1.1335446116190853
2021-08-21,1.133544423391487
2021-08-22,1.1335442532393543
2021-08-23,1.1335440994269026
2021-08-24,1.1335439603850355
2021-08-25,1.133543834695336
2021-08-26,1.1335437210755974
2021-08-27,1.1335436183667438
2021-08-28,1.1335435255210045
2021-08-29,1.1335434415912262
